num,cell,port,function,safe,ccell,disval,rslt,acio,toggle,differential,pinmap,channel
642,bc_1,*,control,1,,,,,,,,
643,bc_8,GPP_B_18_PMCALERTB,bidir,X,642,1,Z,FALSE,TRUE,,gpp_b_18_pmcalertb,TRUE
644,bc_1,*,control,1,,,,,,,,
645,bc_8,GPP_B_17_ISH_GP_5,bidir,X,644,1,Z,FALSE,TRUE,,gpp_b_17_ish_gp_5,TRUE
646,bc_1,*,control,1,,,,,,,,
647,bc_8,GPP_B_16_ISH_GP_4,bidir,X,646,1,Z,FALSE,TRUE,,gpp_b_16_ish_gp_4,TRUE
648,bc_1,*,control,1,,,,,,,,
649,bc_8,GPP_B_15_ISH_GP_3,bidir,X,648,1,Z,FALSE,TRUE,,gpp_b_15_ish_gp_3,TRUE
650,bc_1,*,control,1,,,,,,,,
651,bc_8,GPP_B_14,bidir,X,650,1,Z,FALSE,TRUE,,gpp_b_14,TRUE
652,bc_1,*,control,1,,,,,,,,
653,bc_8,GPP_B_13_PLTRSTB,bidir,X,652,1,Z,FALSE,TRUE,,gpp_b_13_pltrstb,TRUE
654,bc_1,*,control,1,,,,,,,,
655,bc_8,GPP_B_12_SLP_S0B,bidir,X,654,1,Z,FALSE,TRUE,,gpp_b_12_slp_s0b,TRUE
656,bc_1,*,control,1,,,,,,,,
657,bc_8,GPP_B_11_I2S_MCLK,bidir,X,656,1,Z,FALSE,TRUE,,gpp_b_11_i2s_mclk,TRUE
658,bc_1,*,control,1,,,,,,,,
659,bc_8,GPP_B_10_ISH_GP_2,bidir,X,658,1,Z,FALSE,TRUE,,gpp_b_10_ish_gp_2,TRUE
660,bc_1,*,control,1,,,,,,,,
661,bc_8,GPP_B_9_ISH_GP_1,bidir,X,660,1,Z,FALSE,TRUE,,gpp_b_9_ish_gp_1,TRUE
662,bc_1,*,control,1,,,,,,,,
663,bc_8,GPP_B_8_ISH_GP_0,bidir,X,662,1,Z,FALSE,TRUE,,gpp_b_8_ish_gp_0,TRUE
664,bc_1,*,control,1,,,,,,,,
665,bc_8,GPP_B_7_ISH_GP_7,bidir,X,664,1,Z,FALSE,TRUE,,gpp_b_7_ish_gp_7,TRUE
666,bc_1,*,control,1,,,,,,,,
667,bc_8,GPP_B_6_CLKOUT_48,bidir,X,666,1,Z,FALSE,TRUE,,gpp_b_6_clkout_48,TRUE
668,bc_1,*,control,1,,,,,,,,
669,bc_8,GPP_B_5_SX_EXIT_HOLDOFFB_ISH_GP_6_IEH_FATAL_ERR2B,bidir,X,668,1,Z,FALSE,TRUE,,gpp_b_5_sx_exit_holdoffb_ish_gp_6_ieh_fatal_err2b,TRUE
670,bc_1,*,control,1,,,,,,,,
671,bc_8,GPP_B_4_CPU_GP_3,bidir,X,670,1,Z,FALSE,TRUE,,gpp_b_4_cpu_gp_3,TRUE
672,bc_1,*,control,1,,,,,,,,
673,bc_8,GPP_B_3_CPU_GP_2,bidir,X,672,1,Z,FALSE,TRUE,,gpp_b_3_cpu_gp_2,TRUE
674,bc_1,*,control,1,,,,,,,,
675,bc_8,GPP_B_2_ISH_GP_8,bidir,X,674,1,Z,FALSE,TRUE,,gpp_b_2_ish_gp_8,TRUE
676,bc_1,*,control,1,,,,,,,,
677,bc_8,GPP_B_1_ISH_UART0_RTSB_GSPI2_CS1B,bidir,X,676,1,Z,FALSE,TRUE,,gpp_b_1_ish_uart0_rtsb_gspi2_cs1b,TRUE
678,bc_1,*,control,1,,,,,,,,
679,bc_8,GPP_B_0_PCIE_LNK_DOWN,bidir,X,678,1,Z,FALSE,TRUE,,gpp_b_0_pcie_lnk_down,TRUE
680,bc_1,*,internal,1,,,,,,,,
681,bc_1,*,internal,1,,,,,,,,
682,bc_1,*,internal,0,,,,,,,,
683,bc_4,*,segment select,1,,,,,,,,
684,bc_4,*,delay,0,,,,,,,,
685,bc_4,DMI_3_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_3_rxn,TRUE
686,bc_4,DMI_3_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_3_rxp,TRUE
687,AC_1,DMI_3_TXP,output2,1,,,,TRUE,FALSE,DMI_3_TXN,dmi_3_txp,TRUE
688,bc_4,DMI_2_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_2_rxn,TRUE
689,bc_4,DMI_2_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_2_rxp,TRUE
690,AC_1,DMI_2_TXP,output2,1,,,,TRUE,FALSE,DMI_2_TXN,dmi_2_txp,TRUE
691,bc_4,DMI_1_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_1_rxn,TRUE
692,bc_4,DMI_1_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_1_rxp,TRUE
693,AC_1,DMI_1_TXP,output2,1,,,,TRUE,FALSE,DMI_1_TXN,dmi_1_txp,TRUE
694,bc_4,DMI_0_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_0_rxn,TRUE
695,bc_4,DMI_0_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_0_rxp,TRUE
696,AC_1,DMI_0_TXP,output2,1,,,,TRUE,FALSE,DMI_0_TXN,dmi_0_txp,TRUE
697,bc_4,DMI_7_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_7_rxn,TRUE
698,bc_4,DMI_7_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_7_rxp,TRUE
699,AC_1,DMI_7_TXP,output2,1,,,,TRUE,FALSE,DMI_7_TXN,dmi_7_txp,TRUE
700,bc_4,DMI_6_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_6_rxn,TRUE
701,bc_4,DMI_6_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_6_rxp,TRUE
702,AC_1,DMI_6_TXP,output2,1,,,,TRUE,FALSE,DMI_6_TXN,dmi_6_txp,TRUE
703,bc_4,DMI_5_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_5_rxn,TRUE
704,bc_4,DMI_5_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_5_rxp,TRUE
705,AC_1,DMI_5_TXP,output2,1,,,,TRUE,FALSE,DMI_5_TXN,dmi_5_txp,TRUE
706,bc_4,DMI_4_RXN,observe_only,1,,,,TRUE,FALSE,,dmi_4_rxn,TRUE
707,bc_4,DMI_4_RXP,observe_only,1,,,,TRUE,FALSE,,dmi_4_rxp,TRUE
708,AC_1,DMI_4_TXP,output2,1,,,,TRUE,FALSE,DMI_4_TXN,dmi_4_txp,TRUE
709,bc_4,PCIE_21_RXN,observe_only,1,,,,TRUE,FALSE,,pcie_21_rxn,TRUE
710,bc_4,PCIE_21_RXP,observe_only,1,,,,TRUE,FALSE,,pcie_21_rxp,TRUE
711,AC_1,PCIE_21_TXP,output2,1,,,,TRUE,FALSE,PCIE_21_TXN,pcie_21_txp,TRUE
712,bc_4,PCIE_22_RXN,observe_only,1,,,,TRUE,FALSE,,pcie_22_rxn,TRUE
713,bc_4,PCIE_22_RXP,observe_only,1,,,,TRUE,FALSE,,pcie_22_rxp,TRUE
714,AC_1,PCIE_22_TXP,output2,1,,,,TRUE,FALSE,PCIE_22_TXN,pcie_22_txp,TRUE
715,bc_4,PCIE_23_RXN,observe_only,1,,,,TRUE,FALSE,,pcie_23_rxn,TRUE
716,bc_4,PCIE_23_RXP,observe_only,1,,,,TRUE,FALSE,,pcie_23_rxp,TRUE
717,AC_1,PCIE_23_TXP,output2,1,,,,TRUE,FALSE,PCIE_23_TXN,pcie_23_txp,TRUE
718,bc_4,PCIE_24_RXN,observe_only,1,,,,TRUE,FALSE,,pcie_24_rxn,TRUE
719,bc_4,PCIE_24_RXP,observe_only,1,,,,TRUE,FALSE,,pcie_24_rxp,TRUE
